province,type_property,property_id,subtype_property,postal_code,city,price,state_of_property,heating_type,sun_exposure,livable_surface,epc_score,latitude,longitude,facades,bedrooms,bathrooms,toilets,terrace,garden,garage,swimming_pool,flooding_area_type,distance_from_train_stations_by_foot,distance_from_elementary_school_by_foot,distance_from_high_school_by_foot
brabant_wallon,house,vbe32300,residence,1420,braine_l_alleud,545000.0,fully_renovated,hot_air,not_specified,30.0,B,50.6969022,4.3538379,3,4.0,3,2,1,1,1,0,no_flooding_area,2700.0,860.0,2300.0
brabant_wallon,apartment,vbe32299,apartment,1325,chaumont_gistoux,895000.0,new,hot_air,not_specified,22.0,A,50.704752,4.6502871,4,3.0,2,2,1,0,1,0,no_flooding_area,4100.0,1300.0,3000.0
brabant_wallon,apartment,vbe32298,penthouse,1325,chaumont_gistoux,995000.0,new,hot_air,not_specified,20.0,A,50.704752,4.6502871,4,3.0,2,2,1,0,1,0,no_flooding_area,4100.0,1300.0,3000.0
brabant_wallon,apartment,vbe32297,penthouse,1325,chaumont_gistoux,895000.0,new,hot_air,not_specified,16.0,A,50.704752,4.6502871,4,3.0,2,2,1,0,1,0,no_flooding_area,4100.0,1300.0,3000.0
brabant_wallon,house,vbe32262,residence,1341,ceroux_mousty,295000.0,normal,gas,south_west,22.0,G,50.6640535,4.5530533,3,3.0,1,1,0,0,0,0,(information_not_available),1300.0,986.0,986.0
brabant_wallon,house,vbe32245,residence,1480,tubize,295000.0,normal,gas,not_specified,140.0,E,50.69054,4.2026,2,3.0,1,1,1,1,0,0,(information_not_available),527.0,377.0,2.0
brabant_wallon,apartment,vbe32230,ground_floor,1400,nivelles,220000.0,to_renovate,gas,north_west,23.0,C,50.5886574,4.3308649,2,3.0,2,2,1,1,0,0,no_flooding_area,2000.0,984.0,1100.0
brabant_wallon,house,vbe32154,residence,1480,tubize,385000.0,normal,electricity,not_specified,16.0,G,50.69054,4.2026,4,4.0,1,2,1,1,1,0,no_flooding_area,527.0,377.0,2.0
brabant_wallon,house,vbe32153,residence,1480,tubize,495000.0,excellent,hot_air,not_specified,15.0,B,50.69054,4.2026,3,6.0,3,2,1,1,1,0,no_flooding_area,527.0,377.0,2.0
brabant_wallon,house,vbe32139,residence,1350,folx_les_caves,545000.0,excellent,gas,not_specified,17.0,B,50.66042,4.9376,2,5.0,3,3,1,1,1,0,no_flooding_area,2000.0,302.0,8200.0
brabant_wallon,apartment,vbe32121,duplex,1400,nivelles,349000.0,normal,not_specified,north_west,17.0,C,50.5886574,4.3308649,2,3.0,2,2,1,1,0,0,no_flooding_area,2000.0,984.0,1100.0
brabant_wallon,house,vbe32109,residence,1332,genval,975000.0,excellent,not_specified,not_specified,18.0,A+,50.7211,4.49388,4,4.0,2,3,1,1,1,0,(information_not_available),2300.0,335.0,957.0
brabant_wallon,house,vbe32048,villa,1410,waterloo,845000.0,normal,gas,not_specified,20.0,C,50.71469,4.3991,4,4.0,2,3,1,1,1,0,possible_flooding_area,1600.0,426.0,388.0
brabant_wallon,house,vbe32047,villa,1380,lasne,2935000.0,excellent,hot_air,not_specified,50.0,B,50.68736,4.48135,4,5.0,4,0,1,1,1,0,no_flooding_area,5200.0,527.0,4100.0
brabant_wallon,house,rbw15966,residence,1350,orp_le_grand,300000.0,normal,gas,east,17.0,C,50.6950244,4.9899311,4,3.0,2,2,1,1,1,0,no_flooding_area,9400.0,1200.0,7200.0
